filepath,label,label_tag
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000000.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000001.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000002.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000003.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000004.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000005.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000006.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000007.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000008.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000009.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000010.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000011.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000012.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000013.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000014.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000015.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000016.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000017.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000018.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000019.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000020.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000021.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000022.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000023.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000024.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000025.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000026.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000027.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000028.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000029.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000030.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000031.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000032.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000033.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000034.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000035.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000036.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000037.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000038.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000039.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000040.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000041.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000042.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000043.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000044.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000045.jpg,0,bacterial_spot
./PV-Tomato/Train/Tomato___bacterial_spot/plantvillage___Tomato___bacterial_spot___000046.jpg,0,bacterial_spot
